Country,Year,Unique Products Exported,Total Value of Exports (PrimaryValue),Total Net Weight of Exports (NetWgt)
Costa Rica,2018,3089,45007125792.76,18135867065.049
Costa Rica,2019,3238,45807972307.48,17456527310.447
Costa Rica,2020,3136,46491020613.68001,17099101447.505
Costa Rica,2021,3190,57381582260.880005,17825002067.891003
Costa Rica,2022,3206,61278780277.868,15689828214.004
Belize,2000,452,800860373.0,534089210.0
Belize,2001,132,727555953.0,849290020.0
Belize,2002,119,657938823.0,619494318.0
Belize,2003,344,806609380.0,1294852254.0
Belize,2004,554,863057884.0,1486281215.868
Belize,2005,423,830542690.0,1327681565.122
Belize,2006,416,1097717404.0,822942832.0
Belize,2007,401,1066534528.0,795042297.0
Belize,2008,160,1180231394.0,1813487656.0
Belize,2009,375,1046382741.4410001,1259781376.095
Belize,2010,478,1220373057.512,2019971297.78
Belize,2011,611,1517425173.2800002,1288935329.854
Belize,2012,537,1604558486.0,1775464357.0
Belize,2013,508,1653815601.0,1797611806.0
Belize,2014,828,1433716113.0,1401121458.0
Belize,2015,695,1255580755.0,1396200638.0
Belize,2016,802,984650532.0,1357307367.0
Belize,2017,818,1110339840.26,1532201609.1100001
Belize,2018,824,963644632.4000001,1756665411.2799997
Belize,2019,810,979635344.833,1984045917.594
Belize,2020,507,847490729.26,1608862836.82
Belize,2021,696,1056370702.44,1988048226.6200001
Belize,2022,616,1145721596.6859999,818540049.0170001
Nicaragua,2000,1126,2517404605.0,1354856556.0
Nicaragua,2001,1507,2128958457.0,1445705610.0
Nicaragua,2002,1513,2234818868.0,1588914130.0
Nicaragua,2003,1660,2420814550.0,1605508054.0
Nicaragua,2004,1622,3039386760.0,1856227552.0
Nicaragua,2005,1616,3464091240.0,2262405424.0
Nicaragua,2006,1656,3034567600.0,1657368550.0
Nicaragua,2007,1891,4778164249.0,2554310723.0
Nicaragua,2008,2036,10150400183.0,2526410949.0
Nicaragua,2009,2005,5572215362.0,2732193410.0
Nicaragua,2010,2040,7390516095.0,2888394801.0
Nicaragua,2011,2018,9123487935.0,2916658566.0
Nicaragua,2012,442,18202588044.0,3693686110.0
Nicaragua,2013,434,18376593973.0,3833583976.0
Nicaragua,2014,2171,19894005945.0,4311181911.0
Nicaragua,2015,2066,18669462657.0,3995719970.0
Nicaragua,2016,2111,18367847195.719997,3753796169.6499996
Nicaragua,2017,2169,19702324710.639996,4238536800.236
Nicaragua,2018,2307,20055630278.52,4622784909.808001
Nicaragua,2019,2272,21090212485.32,4862637185.0199995
Nicaragua,2020,2085,20349350879.48,4771957409.258
Nicaragua,2021,2117,25979939467.68,5134691862.443999
Nicaragua,2022,2206,29439315203.8,5287364730.329
Mexico,2000,4508,665177358120.0,303614224155.0
Mexico,2001,4525,633544867704.0,315393939848.0
Mexico,2002,4505,643002160684.0,318435737702.0
Mexico,2003,4463,659626035344.0,374627125230.0
Mexico,2004,4432,751921769964.0,9914283642722.0
Mexico,2005,4718,856829222440.0,336098128543.0
Mexico,2006,4693,999842182116.0,375898454624.0
Mexico,2007,4663,1087284861696.0,329142228255.0
Mexico,2008,4553,1165059235240.0,318671565890.0
Mexico,2009,4529,918849349220.0,258063289232.0
Mexico,2010,4535,1193220300544.0,332480831147.0
Mexico,2011,4518,1397306326868.0,315443547336.0
Mexico,2012,4634,1482826633436.0,319825798665.0
Mexico,2013,4639,1519797092544.0,383100730559.0
Mexico,2014,3327,1587561892904.0,299048989639.38403
Mexico,2015,3301,1522224354728.0,204971856440.61102
Mexico,2016,3282,1495814455360.0,123464332107.051
Mexico,2017,3271,1637585091960.0,227406054181.077
Mexico,2018,3258,1802734586500.0,231939180720.03802
Mexico,2019,3254,1842414783232.0,222415828166.81702
Mexico,2020,3227,1667928681944.0,213826107004.508
Mexico,2021,2956,1977843060020.0,435469183737.52
Mexico,2022,2990,2310922853664.0,395787979754.152
Panama,2000,522,3116301724.0,2395398108.0
Panama,2001,490,3236181836.0,2582558484.0
Panama,2002,521,3038452544.0,2200249990.0
Panama,2003,478,3219958704.0,1862525182.0
Panama,2004,478,3564420568.0,2115778220.0
Panama,2005,471,3852862432.0,2366054814.0
Panama,2006,3026,32135704829.0,4707036556.0
Panama,2007,2999,35282380904.0,5102135540.0
Panama,2008,2894,39266482044.0,5042942688.0
Panama,2009,2867,42866747868.0,3530959670.0
Panama,2010,3163,43946410820.0,3851112314.0
Panama,2011,3331,63582460156.0,3081824029.8300004
Panama,2012,3358,67062533244.0,3527117303.3650002
Panama,2013,3446,62302275300.0,3488860532.199
Panama,2014,3489,55108687780.0,3563466984.972
Panama,2015,3239,48173508416.0,3062653257.3510003
Panama,2016,3077,43372842052.0,3050159553.5379996
Panama,2017,3147,44366227968.0,3453412646.436
Panama,2018,3148,45920430464.0,3434290196.3949995
Panama,2019,3170,41912238104.0,2676427394.921
Panama,2020,3088,34635195660.0,2815044490.525
Panama,2021,406,15127690604.0,5941869678.190001
Panama,2022,431,14608614272.0,5792161166.0
El Salvador,2000,2098,15918981601.240002,2191903268.714
El Salvador,2001,2135,17745833239.08,2169679994.542
El Salvador,2002,2204,18881151280.92,3067782276.1980004
El Salvador,2003,2265,19797556321.56,2836492581.4160004
El Salvador,2004,2341,21007599004.199997,3148272303.632
El Salvador,2005,2400,13745903137.320002,3088661710.7419996
El Salvador,2006,2425,14919971793.96,3857480819.108
El Salvador,2007,2501,16058154580.279999,4306824637.596
El Salvador,2008,2525,18564281973.120003,5109185369.452
El Salvador,2009,2533,15464320393.319998,3747225393.624
El Salvador,2010,2576,17996973008.8,3963048287.141
El Salvador,2011,2563,21232716288.280003,4394533690.491
El Salvador,2012,2643,21356353573.239998,4618551207.267
El Salvador,2013,2742,22077200336.480003,5579936059.827
El Salvador,2014,2721,21206184033.04,5241922201.379
El Salvador,2015,2729,22036190760.28,5510530897.196
El Salvador,2016,2740,21680531589.12,5603605869.535
El Salvador,2017,2800,23040060829.16,6349821707.694
El Salvador,2018,2799,23621644843.72,6059587881.841
El Salvador,2019,2717,23619825694.04,6354729138.063
El Salvador,2020,2554,19221798018.72,5664938096.221
El Salvador,2021,2630,25579555663.64,6483019674.1779995
El Salvador,2022,2730,28460420974.719997,6654131283.945001
