year,iso3_tp_o,iso3_tp_d,trade_comb,trade_i,trade_e,pref,mfn,tariff,industry
2003,CAN,SWE,1.5628999,1.712513,1.2984189,,0.034833547,0.034833547,Minerals (26)
2007,CAN,GHA,10.537765,11.215051,16.396914,,0.1550532,0.1550532,Other (36)
2006,MEX,AZE,0.017215511,0.018584,0.0,,0.13812602,0.13812602,Food (15t16)
2002,CAN,HTI,0.0,0.0,,,0.056648936,0.056648936,Other (36)
2001,CAN,BGR,2.2528656,2.4319491,2.2576947,,0.23991112,0.23991112,Food (15t16)
2009,MEX,BDI,0.0,0.0,0.0,,0.068023533,0.068023533,Vehicles (34t35)
2010,USA,NPL,11.593551,12.51514,1.8816724,,0.16243097,0.16243097,Food (15t16)
2005,USA,IDN,305.59348,322.2735,146.69296,,0.081258819,0.081258819,Metals (27t28)
2010,MEX,RUS,178.01453,187.00252,178.49225,0.0031976744,0.09084706,0.0025735295,Vehicles (34t35)
2010,MEX,COL,456.49976,481.41663,496.78198,0.0,0.10493703,0.10493703,Metals (27t28)
2009,USA,POL,133.70714,144.33572,108.49198,,0.52569479,0.52569479,Food (15t16)
2009,CAN,GTM,2.8040838,2.9843085,1.9786087,,0.10765638,0.10765638,Other (36)
2008,CAN,ITA,359.52924,389.32004,377.00122,0.0,0.012141963,0.012141963,Wood-Paper (20t22)
2004,USA,KEN,10.746177,0.0,10.746177,,0.12211765,0.12211765,Vehicles (34t35)
2002,CAN,NOR,30.912548,32.258503,23.345123,0.0,0.071229495,0.071229495,Textiles (17t19)
2007,CAN,LBN,5.4474492,5.6330528,7.0060358,,0.038946599,0.038946599,Machines (29t33)
2009,MEX,TON,0.0,0.0,0.0,,0.12506649,0.12506649,Wood-Paper (20t22)
2010,CAN,NGA,0.60697663,0.64352584,8.8502989,,0.077492319,0.077492319,Chemicals (23t25)
2003,USA,HRV,7.5308681,8.1548786,3.7709081,,0.022893481,0.022893481,Wood-Paper (20t22)
2007,USA,BHS,245.16219,259.92468,204.81133,,0.32994008,0.32994008,Chemicals (23t25)
2002,MEX,AUS,19.150461,20.672762,16.081272,0.085610524,0.014273809,0.011140477,Food (15t16)
2000,MEX,CPV,0.0,0.0,0.0,,0.036291867,0.036291867,Metals (27t28)
2003,CAN,ETH,0.081463136,0.086698957,0.077687643,,0.32619682,0.32619682,Other (36)
2007,USA,RWA,0.99743754,1.0800858,0.31827313,,0.19688888,0.19688888,Wood-Paper (20t22)
2003,USA,ROU,9.0030785,9.3950777,54.919434,,0.23842989,0.23842989,Textiles (17t19)
2005,MEX,CAN,167.58087,180.90211,95.620857,0.040089693,0.18205768,0.14478126,Food (15t16)
2001,MEX,TJK,0.0,0.0,0.0,,0.05290927,0.05290927,Machines (29t33)
2001,MEX,TKM,0.0,0.0,,,0.0,0.0,Textiles (17t19)
2003,USA,MOZ,1.0349653,1.0800284,0.64223695,,0.2038931,0.2038931,Textiles (17t19)
2009,USA,TUN,18.56337,19.371632,6.5586605,,0.35159293,0.35159293,Textiles (17t19)
2003,CAN,BGR,0.47010502,0.49576449,0.3253468,,0.070799053,0.070799053,Metals (27t28)
2001,USA,BWA,0.6798982,0.70950139,4.9252267,,,,Textiles (17t19)
2003,CAN,MDA,0.0035023903,0.0038376667,0.0,,0.09916646,0.09916646,Minerals (26)
2009,CAN,TZA,0.14143795,0.1549775,0.13326684,,0.16798781,0.16798781,Minerals (26)
2003,CAN,HKG,7.1308489,7.8134694,4.5359759,,0.0,0.0,Minerals (26)
2000,CAN,TUR,14.880464,15.692676,8.720686,,0.045749653,0.045749653,Metals (27t28)
2010,MEX,SAU,16.702772,17.61445,26.073755,,0.048944637,0.048944637,Metals (27t28)
2010,USA,AFG,0.0028887952,0.0031653335,17.166065,,0.08764331,0.08764331,Minerals (26)
2001,MEX,EST,0.20243087,0.21462028,0.41613144,0.0050819456,0.0,0.0,Chemicals (23t25)
2006,CAN,AGO,0.017707501,0.0,0.017707501,,0.10632134,0.10632134,Minerals (26)
2005,USA,BGD,25.136024,27.218805,23.096581,,0.17223318,0.17223318,Wood-Paper (20t22)
