year,country_id_o,country_id_d,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,distw_harmonic,distw_arithmetic,distw_harmonic_jh,distw_arithmetic_jh,dist,main_city_source_o,main_city_source_d,distcap,contig,diplo_disagreement,scaled_sci_2021,comlang_off,comlang_ethno,comcol,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,comrelig,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,fta_wto,fta_wto_raw,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
2010,MEX,PAK.2,MEX,PAK,484.0,586.0,1,1,-6.0,5.0,14240.0,14259.0,14125.0,14142.0,14880.0,UN_WUP_Largest,UN_WUP_Largest,14067.0,0.0,0.817,693.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,117886.406,173149.307,1051627945.984,177165631.488,8.921,1.023,1.0,1.0,1.0,1.0,1732191876.994,715833546.67,14.765,4.197,117318.938,170560.188,1736534272.0,689167616.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,21.0,17.8,7.0,12.0,8.5,20.0,15.5,32.0,28475.754,34094.612,38827.721,37346.711,28470.0,34094.617
2000,USA,PNG,USA,PNG,840.0,598.0,1,1,-5.0,10.0,13101.0,13293.0,13170.0,13293.0,14689.0,UN_WUP_Largest,UN_WUP_Largest,14550.0,0.0,3.086,1078.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.353,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,282162.415,5379.226,10284800409.6,3521348.096,36.45,0.655,1.0,1.0,1.0,1.0,10284779000.0,7911534.379,36.45,1.42,281982.781,,12948142080.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,22977.608,68350.063,21564.475,20653.092,24000.0,26966.4
2001,CAN,MLI,CAN,MLI,124.0,466.0,1,1,-5.0,0.0,7997.0,8181.0,8219.0,8456.0,7557.0,UN_WUP_Largest,UN_WUP_Largest,7280.0,0.0,1.957,4808.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,,,,1.0,0.0,1763.0,0.0,31081.9,10562.768,732716924.928,2629739.008,23.574,0.249,1.0,1.0,1.0,1.0,934754350.42,15007480.244,30.074,1.329,31024.732,11293.258,1150438912.0,13557378.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2717.718,12305.67,8637.422,8592.174,2700.616,12305.668
2007,USA,ITA,USA,ITA,840.0,380.0,1,1,-5.0,1.0,8010.0,8190.0,7962.0,8068.0,6907.0,UN_WUP_Largest,UN_WUP_Largest,7235.0,0.0,1.846,3064.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,301231.201,58438.309,14477599703.04,2203972534.272,48.061,37.715,1.0,1.0,1.0,1.0,14477635000.0,1985917960.917,48.062,33.983,300595.188,59313.512,15480738816.0,2118914304.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.7,18.7,6.0,9.0,6.0,13.0,12.0,22.0,14120115.167,14753489.699,14458486.625,12696598.0,14173500.0,14957319.0
2000,USA,FRA,USA,FRA,840.0,250.0,1,1,-5.0,1.0,7168.0,7366.0,7095.0,7206.0,5852.0,UN_WUP_Largest,UN_WUP_Largest,6182.0,0.0,1.186,2133.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.24,0.0,1.0,1.0,0.0,1803.0,,,0.0,0.0,,,282162.415,60911.057,10284800409.6,1368438341.632,36.45,22.466,1.0,1.0,1.0,1.0,10284779000.0,1595459935.808,36.45,26.193,281982.781,61470.059,12948142080.0,1902361344.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,20514470.34,26733138.156,22603552.625,22147914.0,20398000.0,24564262.0
2010,MEX,NPL,MEX,NPL,484.0,524.0,1,1,-6.0,5.75,14456.0,14474.0,14492.0,14510.0,14768.0,UN_WUP_Largest,UN_WUP_Largest,14768.0,0.0,0.486,194.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,117886.406,26846.016,1051627945.984,15994094.592,8.921,0.596,1.0,1.0,1.0,1.0,1732191876.994,52581800.527,14.765,1.946,117318.938,27023.137,1736534272.0,48814632.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,21.0,46.6,7.0,7.0,8.5,31.0,15.5,38.0,102.116,705.707,754.272,680.329,97.0,705.706
2006,CAN,NER,CAN,NER,124.0,562.0,1,1,-5.0,1.0,8787.0,8941.0,9101.0,9290.0,8307.0,UN_WUP_Largest,UN_WUP_Largest,8003.0,0.0,2.091,4622.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,,,,1.0,0.0,1763.0,0.0,32570.503,13679.705,1310795235.328,3646727.936,40.245,0.267,1.0,1.0,1.0,1.0,1238000856.193,10088809.961,38.01,0.714,32645.48,14132.063,1340594048.0,9939148.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.8,416.8,3.0,11.0,3.5,31.0,6.5,42.0,5667.532,2248.845,6539.294,4120.061,5671.225,2248.845
2009,CAN,CHL,CAN,CHL,124.0,152.0,1,1,-5.0,-4.0,9051.0,9119.0,9444.0,9554.0,8590.0,UN_WUP_Largest,UN_WUP_Largest,8750.0,0.0,1.703,2538.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.388,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,33628.571,16991.73,1370839187.456,172323373.056,40.764,10.142,1.0,1.0,1.0,1.0,1304488409.236,273772307.026,38.791,16.267,33789.828,16829.441,1289737088.0,279140864.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,6.9,2.0,9.0,5.5,40.0,7.5,49.0,566285.58,743335.273,650718.344,415365.688,561662.625,742568.688
2000,USA,CXR,USA,CXR,840.0,162.0,1,1,-5.0,7.0,16158.0,16232.0,,,16647.0,UN_WUP_Largest,UN_WUP_Capitals,16838.0,0.0,,,1.0,1.0,0.0,0.0,3.0,,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,282162.415,,10284800409.6,,36.45,,1.0,,1.0,,10284779000.0,,36.45,,281982.781,,12948142080.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1312.327,,1274.846,1274.846,,
2000,CAN,KIR,CAN,KIR,124.0,296.0,1,1,-5.0,12.0,10463.0,10665.0,8313.0,8558.0,11314.0,UN_WUP_Largest,UN_WUP_Capitals,11550.0,0.0,0.99,667.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.362,0.0,0.0,0.0,0.0,,,,1.0,0.0,1948.0,0.0,30769.699,82.788,739455926.272,67512.712,24.032,0.815,1.0,1.0,1.0,1.0,898024619.55,134282.247,29.185,1.591,30735.773,,1149054848.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,55.197,,47.869,47.869,47.026,
2005,USA,COD,USA,COD,840.0,180.0,1,1,-5.0,1.0,12094.0,12286.0,12022.0,12151.0,10265.0,UN_WUP_Largest,UN_WUP_Largest,10515.0,0.0,3.343,2252.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,295516.602,54028.004,13093699584.0,11964484.608,44.308,0.221,1.0,1.0,1.0,1.0,13093726000.0,,44.308,,295129.5,54751.477,14962400256.0,31356928.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.8,1190.0,6.0,15.0,6.0,133.5,12.0,148.5,64968.131,,59610.071,48491.414,64400.0,189843.016
2008,MEX,SYC,MEX,SYC,484.0,690.0,1,1,-6.0,4.0,16770.0,16774.0,16741.0,16747.0,16820.0,UN_WUP_Largest,UN_WUP_Capitals,16820.0,0.0,0.299,472.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.846,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,114968.04,86.956,1099073126.4,962313.216,9.56,11.067,1.0,1.0,1.0,1.0,1640914513.654,1676063.693,14.437,19.275,113661.812,90.686,1646862080.0,1661239.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,21.8,26.8,9.0,10.0,10.5,33.0,19.5,43.0,603.948,22.612,625.939,72.297,601.0,913.434
2000,USA,MRT,USA,MRT,840.0,478.0,1,1,-5.0,0.0,7339.0,7608.0,7373.0,7528.0,6040.0,UN_WUP_Largest,UN_WUP_Largest,6282.0,0.0,3.906,1754.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,,,,1.0,0.0,1803.0,0.0,282162.415,2708.095,10284800409.6,1081207.552,36.45,0.399,1.0,1.0,1.0,1.0,10284779000.0,5908148.109,36.45,2.181,281982.781,2709.359,12948142080.0,5131077.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16178.09,29149.573,28199.785,27930.916,15300.0,29149.572
2003,USA,BIH,USA,BIH,840.0,70.0,1,1,-5.0,1.0,8389.0,8538.0,8235.0,8321.0,7199.0,UN_WUP_Largest,UN_WUP_Largest,7528.0,0.0,1.995,3765.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,290107.941,3895.779,11510700048.384,8370020.352,39.677,2.148,1.0,1.0,1.0,1.0,11510670000.0,20213903.51,39.677,5.349,290027.625,3779.247,13753587712.0,21081974.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.7,47.3,6.0,12.0,6.0,68.0,12.0,80.0,21164.794,49980.466,55548.948,40937.34,21100.0,49980.465
2005,USA,TLS,USA,TLS,840.0,626.0,1,1,-5.0,9.0,14783.0,14916.0,14876.0,14982.0,15955.0,UN_WUP_Largest,UN_WUP_Capitals,15963.0,0.0,3.098,419.0,0.0,0.0,0.0,0.0,3.0,,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,295516.602,982.889,13093699584.0,491000.0,44.308,0.5,1.0,1.0,1.0,1.0,13093726000.0,,44.308,,295129.5,,14962400256.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.8,125.4,6.0,11.0,6.0,167.0,12.0,178.0,8685.474,270.551,4075.642,4073.328,8600.0,8805.486
