Variable,Coefficient,Standard Error,Observations
log_dist,0.01792,0.44989687707295767,7360
contig,0.31738,0.44810802269095784,7360
comlang_off,0.17556,3.8894166400631343,7360
col_dep_ever,3.18614,3.8111542608506417,7360
fta_wto,0.18822000000000003,0.2499923998844765,7360
