,Coefficient,Standard Error,Observations
iso3num_d_year_fe_760.01995,-0.3971,2.774,1472
iso3num_d_year_fe_760.02005,-1.9246,2.726,1472
iso3num_d_year_fe_764.01995,-0.1458,2.859,1472
iso3num_d_year_fe_764.02,-0.5226,2.9,1472
iso3num_d_year_fe_764.02005,2.3706,2.813,1472
iso3num_d_year_fe_764.02015,14.0019,0.352,1472
iso3num_d_year_fe_780.02,2.7806,2.266,1472
iso3num_d_year_fe_780.02005,2.9096,2.233,1472
iso3num_d_year_fe_780.0201,3.2564,2.196,1472
iso3num_d_year_fe_780.02015,12.7199,0.648,1472
iso3num_d_year_fe_784.02,-0.9443,2.87,1472
iso3num_d_year_fe_784.02005,0.5233,2.7450000000000006,1472
iso3num_d_year_fe_784.02015,13.5523,0.62,1472
iso3num_d_year_fe_788.01995,-3.0993,2.809,1472
iso3num_d_year_fe_788.02,2.6472,2.672,1472
iso3num_d_year_fe_788.02005,-2.6933,2.724,1472
iso3num_d_year_fe_788.0201,-2.9345,2.67,1472
iso3num_d_year_fe_788.02015,7.5471,0.62,1472
iso3num_d_year_fe_792.01995,2.3558,2.887,1472
iso3num_d_year_fe_792.02,1.9006,2.676,1472
iso3num_d_year_fe_792.02005,2.6151,2.746,1472
iso3num_d_year_fe_792.0201,3.5248,2.712,1472
iso3num_d_year_fe_792.02015,12.813,0.674,1472
iso3num_d_year_fe_800.01995,-2.4246,2.765,1472
iso3num_d_year_fe_800.02,2.09,2.648,1472
iso3num_d_year_fe_800.02005,-7.7699,2.81,1472
iso3num_d_year_fe_800.0201,-5.2606,2.885,1472
iso3num_d_year_fe_804.02,-1.563,2.796,1472
iso3num_d_year_fe_804.02005,0.9249,2.661,1472
iso3num_d_year_fe_804.0201,0.8955,2.712,1472
iso3num_d_year_fe_804.02015,9.4254,0.338,1472
iso3num_d_year_fe_807.02,1.1186,2.768,1472
iso3num_d_year_fe_807.02005,-6.4622,2.655,1472
iso3num_d_year_fe_807.02015,5.7353,0.613,1472
iso3num_d_year_fe_818.02005,0.2485,2.714,1472
iso3num_d_year_fe_818.0201,-0.6092,2.77,1472
iso3num_d_year_fe_818.02015,11.0842,0.552,1472
iso3num_d_year_fe_826.01995,3.7728,2.613,1472
iso3num_d_year_fe_826.02,4.3428,2.553,1472
iso3num_d_year_fe_826.02005,3.9307,2.605,1472
iso3num_d_year_fe_826.0201,3.2405,2.645,1472
iso3num_d_year_fe_826.02015,13.637,0.306,1472
iso3num_d_year_fe_834.02,-3.1046,2.705,1472
iso3num_d_year_fe_834.02005,0.5407,2.823,1472
iso3num_d_year_fe_834.02015,7.5279,0.24600000000000002,1472
iso3num_d_year_fe_840.01995,4.465,2.377,1472
iso3num_d_year_fe_840.02,5.1336,2.365,1472
iso3num_d_year_fe_840.02005,4.0738,2.368,1472
iso3num_d_year_fe_840.0201,4.4525,2.466,1472
iso3num_d_year_fe_840.02015,14.7303,0.3,1472
iso3num_d_year_fe_854.01995,-0.3209,2.702,1472
iso3num_d_year_fe_854.02015,8.6813,0.897,1472
iso3num_d_year_fe_858.01995,-2.5651,0.69,1472
iso3num_d_year_fe_858.02,-1.3857,0.9819999999999999,1472
iso3num_d_year_fe_858.02005,-3.1687,0.903,1472
iso3num_d_year_fe_858.0201,-1.96,0.8439999999999999,1472
iso3num_d_year_fe_858.02015,10.0756,2.646,1472
iso3num_d_year_fe_862.01995,-1.1195,0.759,1472
iso3num_d_year_fe_862.02,0.0034,0.6790000000000002,1472
iso3num_d_year_fe_862.02005,-0.4495,0.561,1472
iso3num_d_year_fe_887.01995,-2.0679,2.878,1472
iso3num_d_year_fe_887.02005,-8.0235,2.7450000000000006,1472
iso3num_d_year_fe_891.02,0.0811,2.6540000000000004,1472
iso3num_d_year_fe_894.02005,-2.3429,2.813,1472
iso3num_o_year_fe_170.01995,0.8167,0.324,1472
iso3num_o_year_fe_170.02,-0.3565,0.27,1472
iso3num_o_year_fe_170.02005,1.0306,0.294,1472
iso3num_o_year_fe_170.0201,0.6627,0.24600000000000002,1472
iso3num_o_year_fe_170.02015,-9.5961,2.691,1472
iso3num_o_year_fe_188.01995,0.2006,0.318,1472
iso3num_o_year_fe_188.02,-0.159,0.281,1472
iso3num_o_year_fe_188.02005,0.9296,0.322,1472
iso3num_o_year_fe_188.0201,0.1033,0.255,1472
iso3num_o_year_fe_188.02015,-10.0853,2.6540000000000004,1472
iso3num_o_year_fe_591.02015,-10.4129,2.652,1472
