,Coefficient,Standard Error,Observations
iso3num_d_year_fe_156.01995,3.7929,2.887,1472
iso3num_d_year_fe_156.02,4.5609,2.767,1472
iso3num_d_year_fe_156.02005,3.4987,2.776,1472
iso3num_d_year_fe_156.0201,3.7914,2.844,1472
iso3num_d_year_fe_156.02015,14.3158,0.75,1472
iso3num_d_year_fe_170.01995,-1.5104,0.6570000000000001,1472
iso3num_d_year_fe_170.0201,-0.2452,0.596,1472
iso3num_d_year_fe_170.02015,9.469,3.034,1472
iso3num_d_year_fe_178.01995,-0.7108,2.639,1472
iso3num_d_year_fe_178.0201,-6.8361,2.808,1472
iso3num_d_year_fe_188.01995,-0.8703,0.752,1472
iso3num_d_year_fe_188.02,-0.2342,0.639,1472
iso3num_d_year_fe_188.02005,-0.1357,0.726,1472
iso3num_d_year_fe_188.0201,-0.5445,0.558,1472
iso3num_d_year_fe_188.02015,10.1561,3.011,1472
iso3num_d_year_fe_191.01995,-1.8186,2.725,1472
iso3num_d_year_fe_191.02,2.9625,2.711,1472
iso3num_d_year_fe_191.02005,-2.9951,2.663,1472
iso3num_d_year_fe_191.0201,1.7741,2.772,1472
iso3num_d_year_fe_192.01995,-1.3723,0.835,1472
iso3num_d_year_fe_192.02,0.7158,0.712,1472
iso3num_d_year_fe_192.02005,-0.7456,0.694,1472
iso3num_d_year_fe_192.0201,0.4271,0.599,1472
iso3num_d_year_fe_192.02015,8.8937,2.956,1472
iso3num_d_year_fe_196.01995,-1.556,2.763,1472
iso3num_d_year_fe_196.0201,0.1914,2.691,1472
iso3num_d_year_fe_196.02015,4.9334,0.765,1472
iso3num_d_year_fe_203.02,-7.9966,2.6649999999999996,1472
iso3num_d_year_fe_203.02005,-0.4059,2.711,1472
iso3num_d_year_fe_203.0201,1.1285,2.638,1472
iso3num_d_year_fe_203.02015,12.5367,0.23,1472
iso3num_d_year_fe_204.02,-4.2802,2.756,1472
iso3num_d_year_fe_204.02005,-5.1538,2.731,1472
iso3num_d_year_fe_204.0201,-2.2512,2.765,1472
iso3num_d_year_fe_204.02015,4.4643,0.322,1472
iso3num_d_year_fe_208.01995,0.3658,2.7280000000000006,1472
iso3num_d_year_fe_208.02005,0.4174,2.73,1472
iso3num_d_year_fe_208.0201,2.5971,2.7200000000000006,1472
iso3num_d_year_fe_208.02015,12.7501,0.717,1472
iso3num_d_year_fe_214.01995,-0.4927,0.736,1472
iso3num_d_year_fe_214.02,0.5378,0.684,1472
iso3num_d_year_fe_214.02005,-0.1582,0.647,1472
iso3num_d_year_fe_214.02015,10.7542,2.952,1472
iso3num_d_year_fe_218.01995,-0.9228,0.625,1472
iso3num_d_year_fe_218.02,0.8333,0.566,1472
iso3num_d_year_fe_218.02005,-0.6259,0.646,1472
iso3num_d_year_fe_218.0201,-0.1481,0.332,1472
iso3num_d_year_fe_218.02015,9.9232,2.873,1472
iso3num_d_year_fe_222.01995,0.3645,0.713,1472
iso3num_d_year_fe_222.02,0.5185,0.677,1472
iso3num_d_year_fe_222.02005,-0.9476,0.707,1472
iso3num_d_year_fe_222.0201,0.2602,0.59,1472
iso3num_d_year_fe_222.02015,9.5983,2.919,1472
iso3num_d_year_fe_231.02005,-0.8762,2.761,1472
iso3num_d_year_fe_231.0201,-6.1773,2.768,1472
iso3num_d_year_fe_231.02015,12.3748,0.157,1472
iso3num_d_year_fe_233.01995,-1.6482,2.793,1472
iso3num_d_year_fe_233.02,-2.2475,2.6500000000000004,1472
iso3num_d_year_fe_233.02005,-4.2685,2.636,1472
iso3num_d_year_fe_233.0201,-4.6487,2.735,1472
iso3num_d_year_fe_233.02015,9.5012,0.299,1472
iso3num_d_year_fe_242.0201,-2.8522,2.785,1472
iso3num_d_year_fe_242.02015,12.9864,0.866,1472
iso3num_d_year_fe_246.01995,3.8155,2.7,1472
iso3num_d_year_fe_246.02,-1.1324,2.698,1472
iso3num_d_year_fe_246.02005,-1.5058,2.652,1472
iso3num_d_year_fe_246.0201,0.2709,2.689,1472
iso3num_d_year_fe_246.02015,13.488,0.807,1472
