Region,Var,PTA_ID,Estimate,SE,z,P,Significance
Intercontinental,NNPTA + Lag Sum,84,-0.059310468,0.120054777,-0.49402839,0.62128613,0
Intercontinental,NNPTA + Lag Sum,164,0.287717159,0.072889069,3.947329339,7.90278E-05,3
Intercontinental,NNPTA + Lag Sum,521,0.101881291,0.045226089,2.252710636,0.0242774,2
Europe,NNPTA + Lag Sum,335,0.399223,0.025498,15.65684,2.98E-55,3
