Region,PTA_ID,Estimate,SE,z,P,Significance
Europe,12,-0.24613,1.207591,-0.20382,0.838494,0
Europe,13,2.256354,0.262196,8.605599,7.59E-18,3
Europe,128,2.711968,0.210685,12.87215,6.46E-38,3
Europe,129,0.553253,0.206083,2.684607,0.007262,3
Europe,131,0.614779,0.28135,2.185102,0.028881,2
Europe,132,2.241441,0.251935,8.896916,5.74E-19,3
Europe,133,-0.772,0.248405,-3.10784,0.001885,3
Europe,135,0.615042,0.216964,2.834763,0.004586,3
Europe,150,0.247077,0.687395,0.35944,0.719266,0
Europe,153,0.613529,0.632619,0.969824,0.332134,0
Europe,154,0.592322,0.409033,1.448102,0.147589,0
Europe,156,-0.4415,0.444574,-0.99308,0.320669,0
Europe,192,1.107164,0.162549,6.81126,9.67E-12,3
Europe,254,0.564815,0.0842,6.708004,1.97E-11,3
Europe,255,0.167321,0.236983,0.706048,0.480158,0
Europe,328,0.670819,0.174665,3.840603,0.000123,3
Europe,331,0.141859,0.200862,0.706253,0.480031,0
Europe,335,0.471584,0.024998,18.86466,2.23E-79,3
Europe,389,0.41204,0.323277,1.274572,0.202461,0
Europe,394,0.744501,0.201524,3.694362,0.00022,3
Europe,594,0.474409,0.250966,1.890329,0.058714,1
Europe,621,0.618147,0.185909,3.32499,0.000884,3
