Agreement Name,Countries
Canada Peru,"Canada, Peru"
Panama El Salvador (Panama Central America),"Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Panama"
Dominican Republic Central America United States Free Trade Agreement (CAFTA DR),"Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua, United States"
Chile Colombia,"Chile, Colombia"
Panama Chile,"Chile, Panama"
US Chile,"Chile, United States"
"Colombia Northern Triangle (El Salvador, Guatemala, Honduras)","Colombia, El Salvador, Guatemala, Honduras"
Mexico Honduras (Mexico Northern Triangle),"El Salvador, Guatemala, Honduras, Mexico"
Mexico Uruguay,"Mexico, Uruguay"
US Peru,"Peru, United States"
Peru Chile,"Chile, Peru"
India Afghanistan,"Afghanistan, India"
ASEAN China,"Brunei, Cambodia, China, Indonesia, Laos, Malaysia, Myanmar (Burma), Philippines, Singapore, Thailand, Vietnam"
ASEAN India,"Brunei, Cambodia, India, Indonesia, Laos, Malaysia, Myanmar (Burma), Philippines, Singapore, Thailand, Vietnam"
ASEAN Japan,"Brunei, Cambodia, Indonesia, Japan, Laos, Malaysia, Myanmar (Burma), Philippines, Singapore, Thailand, Vietnam"
"ASEAN Korea, Republic of","Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar (Burma), Philippines, Singapore, South Korea, Vietnam"
Asia Pacific Trade Agreement (APTA),"Bangladesh, India, Laos, South Korea, Sri Lanka"
Asia Pacific Trade Agreement (APTA) Accession of China,"Bangladesh, China, India, Laos, South Korea, Sri Lanka"
India Bhutan,"Bhutan, India"
Brunei Darussalam Japan,"Brunei, Japan"
"China Hong Kong, China","China, Hong Kong SAR China"
"China Macao, China","China, Macao SAR China"
Pakistan China,"China, Pakistan"
China Singapore,"China, Singapore"
Turkey Georgia,"Georgia, Turkey"
Gulf Cooperation Council (GCC),"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates"
Gulf Cooperation Council (GCC) Singapore,"Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, Singapore, United Arab Emirates"
"Korea, Republic of India","India, South Korea"
India Nepal,"India, Nepal"
India Singapore,"India, Singapore"
Japan Indonesia,"Indonesia, Japan"
Japan Malaysia,"Japan, Malaysia"
Japan Philippines,"Japan, Philippines"
Japan Singapore,"Japan, Singapore"
Japan Thailand,"Japan, Thailand"
Japan Viet Nam,"Japan, Vietnam"
Jordan Singapore,"Jordan, Singapore"
"Korea, Republic of Singapore","Singapore, South Korea"
New Zealand Malaysia,"Malaysia, New Zealand"
Pakistan Malaysia,"Malaysia, Pakistan"
Pakistan Sri Lanka,"Pakistan, Sri Lanka"
South Asian Free Trade Agreement (SAFTA),"Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri Lanka"
South Asian Free Trade Agreement (SAFTA) Accession of Afghanistan,"Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri Lanka"
Turkey Syria,"Syria, Turkey"
Turkey Tunisia,"Tunisia, Turkey"
Albania Bosnia and Herzegovina,"Albania, Bosnia & Herzegovina"
Albania Bulgaria,"Albania, Bulgaria"
Croatia Albania,"Albania, Croatia"
