"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080540","Fruit, edible; grapefruit, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","748774","false","-1","N/A",,"false","748774","false",,"false",,"390619","390619","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080590","Fruit, edible; citrus fruit n.e.s. in heading no. 0805, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43638","false","-1","N/A",,"false","43638","false",,"false",,"36917","36917","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080711","Fruit, edible; watermelons, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","794","false","-1","N/A",,"false","794","false",,"false",,"131","131","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080719","Fruit, edible; melons, (other than watermelons), fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54","false","-1","N/A",,"false","54","false",,"false",,"121","121","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080720","Fruit, edible; papaws (papayas), fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5583675","false","-1","N/A",,"false","5583675","false",,"false",,"6376934","6376934","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","090121","Coffee; roasted, not decaffeinated","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176","false","-1","N/A",,"false","176","false",,"false",,"1560","1560","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","090230","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","198820","false","-1","N/A",,"false","198820","false",,"false",,"997442","997442","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","090411","Spices; pepper (of the genus piper), neither crushed nor ground","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126817","false","-1","N/A",,"false","126817","false",,"false",,"236903","236903","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","090412","Spices; pepper (of the genus piper), crushed or ground","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19752","false","-1","N/A",,"false","19752","false",,"false",,"45240","45240","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","090420","Spices; fruits of the genus capsicum or pimenta, dried or crushed or ground","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23","false","-1","N/A",,"false","23","false",,"false",,"116","116","0","false","false",
