TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,484,MEX,Mexico,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,36,FALSE,5,u,36,FALSE,16700,FALSE,0,FALSE,,191350,191350,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,528,NLD,Netherlands,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,266,FALSE,5,u,266,FALSE,104360,FALSE,0,FALSE,,1333450,1333450,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,604,PER,Peru,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,33,FALSE,5,u,33,FALSE,15900,FALSE,0,FALSE,,298320,298320,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,702,SGP,Singapore,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,27,FALSE,5,u,27,FALSE,11100,FALSE,0,FALSE,,147425,147425,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,724,ESP,Spain,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,59,FALSE,5,u,59,FALSE,26000,FALSE,0,FALSE,,288000,288000,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,757,CHE,Switzerland,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,46,FALSE,5,u,46,FALSE,19450,FALSE,0,FALSE,,225950,225950,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,147,FALSE,5,u,147,FALSE,59700,FALSE,0,FALSE,,745850,745850,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,826,GBR,United Kingdom,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,803,FALSE,5,u,803,FALSE,330850,FALSE,0,FALSE,,4383000,4383000,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1311,FALSE,5,u,1311,FALSE,566304,FALSE,0,FALSE,,8135400,8135400,0,TRUE,FALSE
C,A,20220101,2022,52,2022,32,ARG,Argentina,X,Export,858,URY,Uruguay,0,W00,World,H5,HS,TRUE,010129,"Horses; live, other than pure-bred breeding animals",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,58,FALSE,5,u,58,FALSE,28150,FALSE,0,FALSE,,281788,281788,0,TRUE,FALSE
